iter	Passed	Remaining
958	5116	218
959	5121	213
960	5125	208
961	5131	202
962	5135	197
963	5140	191
964	5145	186
965	5150	181
966	5155	175
967	5160	170
968	5165	165
969	5170	159
970	5174	154
971	5180	149
972	5185	143
973	5189	138
974	5194	133
975	5199	127
976	5204	122
977	5209	117
978	5214	111
979	5219	106
980	5224	101
981	5229	95
982	5234	90
983	5239	85
984	5244	79
985	5249	74
986	5254	69
987	5258	63
988	5264	58
989	5268	53
990	5273	47
991	5278	42
992	5283	37
993	5288	31
994	5293	26
995	5298	21
996	5303	15
997	5308	10
998	5313	5
999	5317	0
